,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
38,BM1L1C1F20,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
39,BM1L1C1F21,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,38.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
40,BM1L1C1F21,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
41,BM1L1C1F21,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
42,BM1L1C1F22,BU,33,15,0.0,0.0%,15,0.0,0.0,0.0,0,15.0,0.0,0.0,0.0,0,15.0,0.0,0.0,0.0,0
43,BM1L1C1F22,LR,16,13,12.0,92.3%,26,24.0,24.0,2.0,"('FAI0649',)",26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
44,BM1L1C1F22,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
45,BM1L1C1F23,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,38.0,24.0,34.0,4.0,"('P63_3', 'P63_4')",30.0,0.0,0.0,0.0,0
46,BM1L1C1F23,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
47,BM1L1C1F23,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
48,BM1L1C1F24,BU,33,30,0.0,0.0%,60,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
49,BM1L1C1F24,LR,16,39,0.0,0.0%,117,0.0,0.0,0.0,0,39.0,0.0,0.0,0.0,0,78.0,0.0,0.0,0.0,0
50,BM1L1C1F24,RR,7,28,0.0,0.0%,56,8.0,0.0,56.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
51,BM1L1C1F25,BU,33,30,0.0,0.0%,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
52,BM1L1C1F25,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
53,BM1L1C1F25,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
54,BM1L1C1F26,BU,33,45,44.0,97.8%,90,22.0,88.0,2.0,"('P66',)",30.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
55,BM1L1C1F26,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
56,BM1L1C1F26,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
57,BM1L1C1F27,BU,33,30,0.0,0.0%,60,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,0
58,BM1L1C1F27,LR,16,26,0.0,0.0%,78,0.0,0.0,0.0,0,39.0,0.0,0.0,0.0,0,117.0,0.0,0.0,0.0,0
59,BM1L1C1F27,RR,7,14,0.0,0.0%,42,12.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,12.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",63.0,12.0,0.0,63.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
60,BM1L1C1F28,BU,33,45,44.0,97.8%,135,33.0,132.0,3.0,"('P66',)",228.0,36.0,204.0,24.0,"('P64', 'P63_1', 'P64', 'P66', 'P63_1', 'P63_2', 'P63_3', 'P63_4')",45.0,33.0,42.0,3.0,"('P64',)"
61,BM1L1C1F28,LR,16,26,0.0,0.0%,78,0.0,0.0,0.0,0,117.0,0.0,0.0,0.0,0,39.0,0.0,0.0,0.0,0
62,BM1L1C1F28,RR,7,14,0.0,0.0%,42,12.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",84.0,12.0,0.0,84.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,12.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
63,BM1L1C1F29,BU,33,30,29.0,96.7%,90,33.0,87.0,3.0,"('P66',)",45.0,0.0,0.0,0.0,0,57.0,0.0,0.0,0.0,0
64,BM1L1C1F29,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
65,BM1L1C1F29,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
66,BM1L1C1F3,BU,33,45,0.0,0.0%,135,0.0,0.0,0.0,0,45.0,0.0,0.0,0.0,0,90.0,0.0,0.0,0.0,0
67,BM1L1C1F3,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,52.0,0.0,0.0,0.0,0
68,BM1L1C1F3,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
69,BM1L1C1F30,BU,33,30,0.0,0.0%,90,0.0,0.0,0.0,0,114.0,36.0,111.0,3.0,"('P63_4',)",45.0,0.0,0.0,0.0,0
70,BM1L1C1F30,LR,16,26,0.0,0.0%,52,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
71,BM1L1C1F30,RR,7,14,0.0,0.0%,28,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
72,BM1L1C1F31,BU,33,15,0.0,0.0%,15,0.0,0.0,0.0,0,15.0,0.0,0.0,0.0,0,15.0,0.0,0.0,0.0,0
73,BM1L1C1F31,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
74,BM1L1C1F31,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
75,BM1L1C1F32,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
76,BM1L1C1F32,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
77,BM1L1C1F32,RR,7,35,0.0,0.0%,70,8.0,0.0,70.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
78,BM1L1C1F33,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,38.0,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0
79,BM1L1C1F33,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
80,BM1L1C1F33,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
81,BM1L1C1F34,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,30.0,0.0,0.0,0.0,0,38.0,24.0,36.0,2.0,"('P63_1',)"
82,BM1L1C1F34,LR,16,13,0.0,0.0%,13,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0,13.0,0.0,0.0,0.0,0
83,BM1L1C1F34,RR,7,7,0.0,0.0%,14,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,8.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,8.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
84,BM1L1C1F35,BU,33,15,0.0,0.0%,30,0.0,0.0,0.0,0,38.0,24.0,32.0,6.0,"('P63_2', 'P63_3', 'P63_4')",30.0,0.0,0.0,0.0,0
85,BM1L1C1F35,LR,16,13,0.0,0.0%,26,0.0,0.0,0.0,0,52.0,0.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0
86,BM1L1C1F35,RR,7,7,0.0,0.0%,7,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
87,BM1L1C1F36,BU,33,30,29.0,96.7%,90,33.0,87.0,3.0,"('P66',)",57.0,36.0,54.0,3.0,"('P66',)",45.0,0.0,0.0,0.0,0
88,BM1L1C1F36,LR,16,13,0.0,0.0%,26,0.0,0.0,0.0,0,78.0,24.0,74.0,4.0,"('FAI0780', 'FAI0780')",26.0,0.0,0.0,0.0,0
